                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0582,                 4.4306,                0.98088,                0.01246,                0.88806,                0.01228,                0.00785,                 0.7688,                 5602.6,                0.70113,             0.00065217,             0.00065217,             0.00065217
                      2,                 1.1745,                0.98493,                 1.0319,                0.67626,                0.37313,                0.35475,                0.18292,                  1.198,                 12.391,                0.88845,              0.0013058,              0.0013058,              0.0013058
                      3,                 1.2226,                 1.1389,                 1.0573,                0.21408,                0.11194,                0.04622,                0.01957,                 1.4889,                 5.3579,                 1.4716,              0.0019462,              0.0019462,              0.0019462
                      4,                  1.208,                0.92202,                 1.0747,                  5e-05,                0.02239,                  3e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1208,                0.87479,                 1.0571,                0.88694,                 0.8782,                 0.9233,                0.61881,                0.74082,                0.88888,                0.69977,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.121,                0.78579,                 1.0213,                0.82373,                0.91045,                0.93749,                0.62889,                0.78598,                 1.8673,                0.71125,               0.001901,               0.001901,               0.001901
                      7,                 1.1383,                0.78456,                 1.0605,                 0.8766,                0.82836,                 0.9331,                0.69108,                0.76433,                0.92334,                0.69155,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0409,                 0.6886,                 1.0025,                0.85384,                0.82834,                0.92825,                0.67192,                0.76189,                0.70875,                 0.6952,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0866,                0.75371,                 1.0458,                0.88811,                0.90299,                0.96046,                0.68084,                0.76585,                0.83218,                0.69261,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0156,                0.67341,                0.99758,                0.91995,                0.85764,                0.95988,                0.70207,                0.63844,                0.72522,                0.67195,              0.0018218,              0.0018218,              0.0018218
                     11,                0.99377,                0.64279,                0.96078,                0.87496,                0.87313,                0.93781,                0.65795,                0.65424,                 1.1146,                0.66804,               0.001802,               0.001802,               0.001802
                     12,                0.98913,                0.66689,                0.96747,                0.87161,                0.85075,                0.93732,                0.68692,                0.78501,                0.83987,                0.69157,              0.0017822,              0.0017822,              0.0017822
                     13,                0.97382,                0.64792,                0.99752,                0.90623,                0.87313,                0.95273,                0.69521,                0.63854,                 1.1852,                0.66019,              0.0017624,              0.0017624,              0.0017624
                     14,                0.95979,                0.63192,                0.95513,                 0.8982,                0.89552,                0.96347,                 0.6958,                0.66692,                0.86027,                0.66167,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.012,                0.69895,                0.97181,                0.88907,                0.90299,                 0.9624,                0.69843,                0.65578,                 11.918,                0.65289,              0.0017228,              0.0017228,              0.0017228
                     16,                0.94266,                0.61227,                0.93769,                0.87245,                0.91045,                0.95421,                0.72431,                0.60821,                0.59534,                0.64986,               0.001703,               0.001703,               0.001703
                     17,                0.93677,                0.61117,                 0.9483,                0.85649,                0.93535,                0.96199,                 0.7229,                0.59668,                0.43482,                0.64659,              0.0016832,              0.0016832,              0.0016832
                     18,                0.85967,                0.54655,                0.91691,                0.86337,                0.94315,                0.96564,                0.69772,                0.66515,                 1.4153,                0.66117,              0.0016634,              0.0016634,              0.0016634
                     19,                0.90198,                0.52347,                0.95275,                0.89274,                0.92537,                0.96175,                0.70231,                0.61386,                0.55251,                0.65202,              0.0016436,              0.0016436,              0.0016436
                     20,                0.89732,                0.57485,                 0.9511,                0.92454,                0.85821,                0.96278,                0.72517,                 0.5742,                 0.4255,                0.64512,              0.0016238,              0.0016238,              0.0016238
                     21,                0.89226,                0.55509,                0.93977,                0.89769,                0.91667,                0.96975,                0.69807,                0.72437,                0.72426,                0.68098,               0.001604,               0.001604,               0.001604
                     22,                 0.8692,                0.58341,                0.93709,                0.89577,                0.94776,                0.96527,                0.70853,                0.60757,                 1.0868,                0.66342,              0.0015842,              0.0015842,              0.0015842
                     23,                0.89407,                0.81081,                0.89905,                 0.8497,                0.96269,                0.95937,                0.68781,                0.64864,                0.52377,                0.65242,              0.0015644,              0.0015644,              0.0015644
                     24,                0.92927,                0.58409,                0.96497,                0.88351,                0.90558,                0.96773,                0.72475,                0.65089,                0.55146,                0.66157,              0.0015446,              0.0015446,              0.0015446
